PROVIDER_ID|PROV_ADD_ID|ADDRESS_TYPE_CD|ADDRESS_LINE_1|ADDRESS_LINE_2|CITY|STATE_CD|ZIP|PHONE|PHONE_EXT|FAX|COUNTY|EFFECTIVE_DT|TERM_DT|COUNTRY_CD
000000010021^EHI0NA|PRI^20040101_000000.|Physical|2175 Charbonier Rd.|Ste. B|Florissant|MO|63031|3148310181||3148514471|Saint Louis|2004-01-01|9999-12-31|
000000010021^EHI0NA|RMT^20000101_000000.|Mailing|PO Box 23340||Saint Louis|MO|63156|3148511000||3148514445|Saint Louis City|2000-01-01|9999-12-31|
000000010024^EHI0NA|PRI^20040101_000000.|Physical|5034 Griffin Rd.||Saint Louis|MO|63128|3148437333||3148439946|Saint Louis|2004-01-01|9999-12-31|
000000010024^EHI0NA|RMT^20051201_000000.|Mailing|PO Box 23340||Saint Louis|MO|63156|3148511069||3148514449|Saint Louis City|2005-12-01|9999-12-31|
000000010025^EHI0NA|PRI^20040101_000000.|Physical|4 Park Pl.||Swansea|IL|62226|6182777500||6182774236|Saint Clair|2004-01-01|9999-12-31|
000000010025^EHI0NA|RMT^20000101_000000.|Mailing|PO Box 23340||Saint Louis|MO|63156-3340|3148511069||3148514449|Saint Louis City|2000-01-01|9999-12-31|
000000010027^EHI0NA|PRI^20060701_000000.|Physical|12345 W. Bend Dr.|Ste. 300|Saint Louis|MO|63128|3148496000||3148491417|Saint Louis|2006-07-01|9999-12-31|
000000010027^EHI0NA|RMT^20070101_000000.|Mailing|PO Box 23340||Saint Louis|MO|63156|3148511069||3148514449|Saint Louis City|2007-01-01|9999-12-31|
000000010029^EHI0NA|002^20000101_000000.|Physical|253 Dunn Rd.||Florissant|MO|63031|3148394554||3148370047|Saint Louis|2000-01-01|9999-12-31|
000000010029^EHI0NA|RMT^20000101_000000.|Mailing|PO Box 23340||Saint Louis|MO|63156|3148511069||3148514449|Saint Louis City|2000-01-01|9999-12-31|
000000010030^EHI0NA|PRI^20040101_000000.|Physical|1225 Graham Rd.|Ste. 1330-C|Florissant|MO|63031|3148385702||3148395596|Saint Louis|2004-01-01|9999-12-31|
000000010030^EHI0NA|RMT^20070101_000000.|Mailing|PO Box 23340||Saint Louis|MO|63156|3148511000||3148514445|Saint Louis City|2007-01-01|9999-12-31|
000000010034^EHI0NA|PO1^20000101_000000.|Physical|1011 Bowles Ave.|Ste. 450|Fenton|MO|63026-2387|3144671500||3148423835|Saint Louis|2000-01-01|9999-12-31|
000000010034^EHI0NA|PRI^20040101_000000.|Physical|13303 Tesson Ferry Rd.|Ste. 150|Saint Louis|MO|63128|3148424744||3148423835|Saint Louis|2004-01-01|9999-12-31|
000000010034^EHI0NA|RMT^20040101_000000.|Mailing|PO Box 23340||Saint Louis|MO|63156|3148511069||3148514449|Saint Louis City|2004-01-01|9999-12-31|
000000010035^EHI0NA|PRI^20040101_000000.|Physical|5034 Griffin Rd.||Saint Louis|MO|63128|3148437333||3148439946|Saint Louis|2004-01-01|9999-12-31|
000000010035^EHI0NA|RMT^20000101_000000.|Mailing|PO Box 23340||Saint Louis|MO|63156|3148511069||3148514449|Saint Louis City|2000-01-01|9999-12-31|
000000010039^EHI0NA|PRI^20040101_000000.|Physical|1027 Bellevue Ave.|Ste. 107|Saint Louis|MO|63117|3146453743||3146477967|Saint Louis|2004-01-01|9999-12-31|
000000010039^EHI0NA|RMT^20100701_000000.|Mailing|PO Box 23340||Saint Louis|MO|63156|3148511069||3148514449|Saint Louis City|2010-07-01|9999-12-31|
000000010041^EHI0NA|PRI^20040101_000000.|Physical|1027 Bellevue Ave.|Ste. 107|Saint Louis|MO|63117|3146453743||3146477967|Saint Louis|2004-01-01|9999-12-31|
000000010041^EHI0NA|RMT^20061116_000000.|Mailing|PO Box 23340||Saint Louis|MO|63156|3148511069||3148514449|Saint Louis City|2006-11-16|9999-12-31|
000000010042^EHI0NA|PRI^20040101_000000.|Physical|200 Medical Plz.|Ste. 101|Lake Saint Louis|MO|63367|6365614100||6365618445|Saint Charles|2004-01-01|9999-12-31|
000000010042^EHI0NA|RMT^20150105_000000.|Mailing|PO Box 23340||Saint Louis|MO|63156|3148511069||3148514449|Saint Louis City|2015-01-05|9999-12-31|
000000010047^EHI0NA|PRI^20040101_000000.|Physical|1031 Bellevue Ave.|Ste. 300|Saint Louis|MO|63117|3146479444||3146477317|Saint Louis|2004-01-01|9999-12-31|
000000010047^EHI0NA|RMT^20070101_000000.|Mailing|PO Box 23340||Saint Louis|MO|63156|3148511069||3148514449|Saint Louis City|2007-01-01|9999-12-31|
000000010048^EHI0NA|PRI^20040101_000000.|Physical|1031 Bellevue Ave.|Ste. 300|Saint Louis|MO|63117|3146479444||3146477317|Saint Louis|2004-01-01|9999-12-31|
000000010048^EHI0NA|RMT^20070101_000000.|Mailing|PO Box 23340||Saint Louis|MO|63156|3148511069||3148514449|Saint Louis City|2007-01-01|9999-12-31|
000000010051^EHI0NA|PRI^20040101_000000.|Physical|11155 Dunn Rd.|Ste. 205-E|Saint Louis|MO|63136|3143551660||3143552807|Saint Louis|2004-01-01|9999-12-31|
000000010051^EHI0NA|RMT^20070101_000000.|Mailing|PO Box 23340||Saint Louis|MO|63156|3148511069||3148514449|Saint Louis City|2007-01-01|9999-12-31|
000000010854^EHI0NA|PRI^20040901_000000.|Physical|1031 Bellevue Ave.|Ste. 300|Saint Louis|MO|63117-1857|3146479444||3146477317|Saint Louis|2004-09-01|9999-12-31|
000000010854^EHI0NA|RMT^20040901_000000.|Mailing|PO Box 23340||Saint Louis|MO|63156|3148511069||3148514449|Saint Louis City|2004-09-01|9999-12-31|
000000011298^EHI0NA|001^20000101_000000.|Physical|12255 DePaul Dr.|Ste. 420-N|Bridgeton|MO|63044|3142983893||3148514408|Saint Louis|2000-01-01|9999-12-31|
000000011298^EHI0NA|RMT^20050101_000000.|Mailing|PO Box 23340||Saint Louis|MO|63156-3340|3148511069||3148514449|Saint Louis City|2005-01-01|9999-12-31|
000000012274^EHI0NA|P02^20050801_000000.|Physical|106 Easton St.||De Soto|MO|63020|6365864919||6369332885|Jefferson|2005-08-01|9999-12-31|
000000012274^EHI0NA|PRI^20050801_000000.|Mailing|1455 US Hwy. 61 S|Ste. A|Festus|MO|63028-4131|6369371528||6369332885|Jefferson|2005-08-01|9999-12-31|
000000012378^EHI0NA|PRI^20050801_000000.|Physical|12255 DePaul Dr.|Ste. 600|Bridgeton|MO|63044-2510|3142095100||3142095152|Saint Louis|2005-08-01|9999-12-31|
000000012378^EHI0NA|RMT^20080101_000000.|Mailing|1551 Wall St.|Ste. 310|Saint Charles|MO|63303-3541||||Saint Charles|2008-01-01|9999-12-31|
000000012459^EHI0NA|PRI^20040101_000000.|Physical|1475 Kisker Rd.|Ste. 230|Saint Charles|MO|63304|6369395000||3147392485|Saint Charles|2004-01-01|9999-12-31|
000000012459^EHI0NA|RMT^20070101_000000.|Mailing|PO Box 23340||Saint Louis|MO|63156|3148511069||3148514449|Saint Louis City|2007-01-01|9999-12-31|
000000012461^EHI0NA|PRI^20040101_000000.|Physical|400 First Capitol Dr.|Ste. 300|Saint Charles|MO|63301|3148394554||3148370047|Saint Charles|2004-01-01|9999-12-31|
000000012461^EHI0NA|RMT^20000101_000000.|Mailing|PO Box 23340||Saint Louis|MO|63156|3148511069||3148514449|Saint Louis City|2000-01-01|9999-12-31|
000000012462^EHI0NA|PRI^20040101_000000.|Physical|400 First Capitol Dr.|Ste. 300|Saint Charles|MO|63301|3148385702||3148395596|Saint Charles|2004-01-01|9999-12-31|
000000012462^EHI0NA|RMT^20000101_000000.|Mailing|PO Box 23340||Saint Louis|MO|63156|3148511069||3148514449|Saint Louis City|2000-01-01|9999-12-31|
000000013221^EHI0NA|PRI^20050101_000000.|Mailing|6500 Lansdowne Ave.||Saint Louis|MO|63109|3143527003||3143525355|Saint Louis City|2005-01-01|9999-12-31|
000000013246^EHI0NA|PO1^20000101_000000.|Mailing|PO Box 419161||Saint Louis|MO|63141|3144322580||3144320223|Saint Louis|2000-01-01|9999-12-31|
000000013246^EHI0NA|PRI^20060101_000000.|Physical|2865 Netherton Dr.||Saint Louis|MO|63136|3146531600||3143555716|Saint Louis|2006-01-01|9999-12-31|
000000013247^EHI0NA|001^20000101_000000.|Physical|301 W. Lincoln St.|Ste. 200|Belleville|IL|62220|6182342566||6182345650|Saint Clair|2000-01-01|9999-12-31|
000000013247^EHI0NA|RMT^20000101_000000.|Mailing|311 W. Lincoln St.|Ste. 300|Belleville|IL|62220|6182342566||6182345650|Saint Clair|2000-01-01|9999-12-31|
000000013438^EHI0NA|001^19000101_000000.|Physical|4438 Telegraph Rd.||Saint Louis|MO|63129-3316|3145435996||3145435958|Saint Louis|1900-01-01|9999-12-31|
000000013438^EHI0NA|RMT^20000101_000000.|Mailing|PO Box 66767||Saint Louis|MO|63166-6767||||Saint Louis City|2000-01-01|9999-12-31|
000000013906^EHI0NA|PRI^20100104_000000.|Physical|10012 Kennerly Rd.|Ste. 102|Saint Louis|MO|63128|3145254225||3145254229|Saint Louis|2010-01-04|9999-12-31|
000000013906^EHI0NA|RMT^20000101_000000.|Mailing|PO Box 66767||Saint Louis|MO|63166-6767||||Saint Louis City|2000-01-01|9999-12-31|
000000013949^EHI0NA|PRI^20110101_000000.|Mailing|3185 Hampton Ave.||Saint Louis|MO|63139-2338|3146444411||3146440272|Saint Louis City|2011-01-01|9999-12-31|
000000013959^EHI0NA|PRI^20061101_000000.|Physical|4438 Telegraph Rd.||Saint Louis|MO|63129|3145435996||3145435958|Saint Louis|2006-11-01|9999-12-31|
000000013959^EHI0NA|RMT^20000101_000000.|Mailing|PO Box 66767||Saint Louis|MO|63166-6767||||Saint Louis City|2000-01-01|9999-12-31|
000000013960^EHI0NA|001^20000101_000000.|Physical|714 Gravois Rd.|Ste. 210|Fenton|MO|63026-7723|3145435230||3145435280|Saint Louis|2000-01-01|9999-12-31|
000000013960^EHI0NA|RMT^20000101_000000.|Mailing|PO Box 66767||Saint Louis|MO|63166||||Saint Louis City|2000-01-01|9999-12-31|
000000013961^EHI0NA|001^20000101_000000.|Physical|714 Gravois Rd.|Ste. 210|Fenton|MO|63026-7723|3145435230||3145435280|Saint Louis|2000-01-01|9999-12-31|
000000013961^EHI0NA|RMT^20000101_000000.|Mailing|PO Box 66767||Saint Louis|MO|63166||||Saint Louis City|2000-01-01|9999-12-31|
000000013962^EHI0NA|001^20000101_000000.|Physical|714 Gravois Rd.|Ste. 210|Fenton|MO|63026-7723|3145435230||3145435280|Saint Louis|2000-01-01|9999-12-31|
000000013962^EHI0NA|RMT^20000101_000000.|Mailing|PO Box 66767||Saint Louis|MO|63166||||Saint Louis City|2000-01-01|9999-12-31|
000000014007^EHI0NA|PRI^20061101_000000.|Mailing|1224 Graham Rd.|Ste. 1111|Florissant|MO|63031|3148373720||3148373983|Saint Louis|2006-11-01|9999-12-31|
000000014010^EHI0NA|PRI^20061101_000000.|Mailing|3478 Bridgeland Dr.|Ste. 2|Bridgeton|MO|63044|3147398200||3147398200|Saint Louis|2006-11-01|9999-12-31|
000000014017^EHI0NA|P01^20000101_000000.|Mailing|10449 Saint Charles Rock Rd.|Ste. 301|Saint Ann|MO|63074|3144272022||3144276230|Saint Louis|2000-01-01|9999-12-31|
000000014031^EHI0NA|001^20000101_000000.|Physical|3619 Richardson Square Dr.|Ste. 170|Arnold|MO|63010|6367176776||3145254055|Jefferson|2000-01-01|9999-12-31|
000000014031^EHI0NA|RMT^20090701_000000.|Mailing|PO Box 66767||Saint Louis|MO|63166-6767|6367176776|||Saint Louis City|2009-07-01|9999-12-31|
000000014049^EHI0NA|PRI^20070101_000000.|Mailing|11115 New Halls Ferry Rd.|Ste. 306|Florissant|MO|63033-7612|3148380222||3148380234|Saint Louis|2007-01-01|9999-12-31|
000000014077^EHI0NA|PRI^20080101_000000.|Physical|12255 DePaul Dr.|Ste. 260|Bridgeton|MO|63044|3143446066||3143447515|Saint Louis|2008-01-01|9999-12-31|
000000014077^EHI0NA|RMT^20000101_000000.|Mailing|PO Box 1449||Maryland Heights|MO|63043-0449|3143446066||3143447515|Saint Louis|2000-01-01|9999-12-31|
000000014105^EHI0NA|001^20000101_000000.|Physical|3619 Richardson Square Dr.|Ste. 170|Arnold|MO|63010|6367176776||3145254055|Jefferson|2000-01-01|9999-12-31|
000000014105^EHI0NA|RMT^20000101_000000.|Mailing|PO Box 66767||Saint Louis|MO|63166-6767|6367176776|||Saint Louis City|2000-01-01|9999-12-31|
000000014142^EHI0NA|001^20000101_000000.|Physical|12700 Southfork Rd.|Ste. 280|Saint Louis|MO|63128-3201|3145254990||3145254926|Saint Louis|2000-01-01|9999-12-31|
000000014142^EHI0NA|RMT^20000101_000000.|Mailing|PO Box 66767||Saint Louis|MO|63166-6767||||Saint Louis City|2000-01-01|9999-12-31|
000000014371^EHI0NA|001^20000101_000000.|Physical|301 W. Lincoln St.|Ste. 200|Belleville|IL|62220|6182342566||6182345650|Saint Clair|2000-01-01|9999-12-31|
000000014371^EHI0NA|RMT^20000101_000000.|Mailing|311 W. Lincoln St.|Ste. 300|Belleville|IL|62220|6182342566||6182345650|Saint Clair|2000-01-01|9999-12-31|
000000014878^EHI0NA|PRI^20070625_000000.|Physical|1031 Bellevue Ave.|Ste. 300|Saint Louis|MO|63117|3146479444||3146477317|Saint Louis|2007-06-25|9999-12-31|
000000014878^EHI0NA|RMT^20060101_000000.|Mailing|PO Box 23340||Saint Louis|MO|63156-3340|3148511069||3148514449|Saint Louis City|2006-01-01|9999-12-31|
000000014900^EHI0NA|P03^20000101_000000.|Physical|1688 Old Gravois Rd.||High Ridge|MO|63049-2606|6366776200||6363769400|Jefferson|2000-01-01|9999-12-31|
000000014900^EHI0NA|PO2^20000101_000000.|Physical|123 Wedgewood Dr.||Columbia|IL|62236|6182812233||6182812244|Monroe|2000-01-01|9999-12-31|
000000014900^EHI0NA|PRI^20000101_000000.|Physical|3619 Richardson Square Dr.|Ste. 150|Arnold|MO|63010|6364611414||6364612013|Jefferson|2000-01-01|9999-12-31|
000000014900^EHI0NA|RMT^20000101_000000.|Mailing|PO Box 797052||Saint Louis|MO|63179|6364611414|||Saint Louis City|2000-01-01|9999-12-31|
000000014988^EHI0NA|PRI^20070101_000000.|Physical|1031 Bellevue Ave.|Ste. 300|Saint Louis|MO|63117|3146479444||3146470517|Saint Louis|2007-01-01|9999-12-31|
000000014988^EHI0NA|RMT^20000101_000000.|Mailing|PO Box 23340||Saint Louis|MO|63156|3148511069||3148514449|Saint Louis City|2000-01-01|9999-12-31|
000000015190^EHI0NA|PRI^20070101_000000.|Mailing|739 N. Jefferson St.|Ste. 200|Mascoutah|IL|62258|6185668810||6185667121|Saint Clair|2007-01-01|9999-12-31|
000000015193^EHI0NA|PRI^20070101_000000.|Mailing|251 Marketplace Dr.|Ste. 1|Freeburg|IL|62243|6185390067||6185390288|Saint Clair|2007-01-01|9999-12-31|
000000015194^EHI0NA|PRI^20070101_000000.|Mailing|739 N. Jefferson St.|Ste. 200|Mascoutah|IL|62258|6185668810||6185667121|Saint Clair|2007-01-01|9999-12-31|
000000015199^EHI0NA|PRI^20070101_000000.|Mailing|531 Vandalia St.|Ste. 1|Collinsville|IL|62234|6183440090||6183444371|Madison|2007-01-01|9999-12-31|
000000015200^EHI0NA|PRI^20070101_000000.|Mailing|739 N. Jefferson St.|Ste. 200|Mascoutah|IL|62258|6185668810||6185667121|Saint Clair|2007-01-01|9999-12-31|
000000015202^EHI0NA|PRI^20070101_000000.|Mailing|101 Saint Louis Rd.||Collinsville|IL|62234|6183461144||6183468095|Madison|2007-01-01|9999-12-31|
000000015323^EHI0NA|PRI^20070101_000000.|Mailing|739 N. Jefferson St.|Ste. 200|Mascoutah|IL|62258|6185668810||6185667121|Saint Clair|2007-01-01|9999-12-31|
000000015324^EHI0NA|001^20000101_000000.|Physical|301 W. Lincoln St.|Ste. 200|Belleville|IL|62220|6182342566||6182345650|Saint Clair|2000-01-01|9999-12-31|
000000015324^EHI0NA|RMT^20000101_000000.|Mailing|311 W. Lincoln St.|Ste. 300|Belleville|IL|62220|6182342566||6182345650|Saint Clair|2000-01-01|9999-12-31|
000000015381^EHI0NA|001^20000101_000000.|Mailing|6744 Clayton Rd.|Ste. 307|Saint Louis|MO|63117|3146443114||3146450820|Saint Louis|2000-01-01|9999-12-31|
000000015756^EHI0NA|001^20000101_000000.|Mailing|180 S. 3rd St.|Ste. 100|Belleville|IL|62220|6182330308||6182337609|Saint Clair|2000-01-01|9999-12-31|
000000015761^EHI0NA|PRI^20070101_000000.|Physical|251 Marketplace Dr.|Ste. 1|Freeburg|IL|62243|6185390067||6185390288|Saint Clair|2007-01-01|9999-12-31|
000000015761^EHI0NA|RMT^20070101_000000.|Mailing|739 N. Jefferson St.|Ste. 200|Mascoutah|IL|62258|6185668810||6185667121|Saint Clair|2007-01-01|9999-12-31|
000000015780^EHI0NA|005^20000101_000000.|Physical|8449 Jennings Station Rd.||Saint Louis|MO|63136|3146479797||3142708520|Saint Louis|2000-01-01|9999-12-31|
000000015780^EHI0NA|PRI^20070101_000000.|Mailing|5000 Cedar Plaza Pkwy.|Ste. 300|Saint Louis|MO|63128|3146479797||3142708520|Saint Louis|2007-01-01|9999-12-31|
1003103847AA^EHI0NA|001^20080101_000000.|Physical|5548 N. Farmer Branch Rd.||Ozark|MO|65721|4172692215||4172692427|Christian|2008-01-01|9999-12-31|USA
1003103847AA^EHI0NA|RMT^20080101_000000.|Mailing|PO Box 4046||Springfield|MO|65808|4172692215||4172692427|Greene|2008-01-01|9999-12-31|USA
1003136276AB^EHI0NA|001^20000101_000000.|Physical|1414 Cross St.|Ste. 230|Shiloh|IL|62269|6186071260||6186244865|Saint Clair|2000-01-01|9999-12-31|
1003136276AB^EHI0NA|002^20000101_000000.|Physical|310 N. Seven Hills Rd.||O Fallon|IL|62269|6187677000||6186222593|Saint Clair|2000-01-01|9999-12-31|
1003136276AB^EHI0NA|RMT^20000101_000000.|Mailing|PO Box 959203||Saint Louis|MO|63195-9203|3149968101||3149967127|Saint Louis City|2000-01-01|9999-12-31|
1003929985AA^EHI0NA|001^20000101_000000.|Mailing|3850 S. National Ave.|Ste. 700|Springfield|MO|65807|4172690700||4172690709|Greene|2000-01-01|9999-12-31|
1003962820AA^EHI0NA|001^20000101_000000.|Physical|3009 N. Ballas Rd.|Ste. 387-C|Saint Louis|MO|63131|3149965900||3149965910|Saint Louis|2000-01-01|9999-12-31|
1003962820AA^EHI0NA|PRI^20000101_000000.|Physical|3015 N. Ballas Rd.||Saint Louis|MO|63131|3149965772||3149967691|Saint Louis|2000-01-01|9999-12-31|
1003962820AA^EHI0NA|RMT^20000101_000000.|Mailing|PO Box 959354||Saint Louis|MO|63195-9354|3149968101||3149967127|Saint Louis City|2000-01-01|9999-12-31|
1003987678AA^EHI0NA|PRI^20000101_000000.|Mailing|3219 Meramec St.||Saint Louis|MO|63118|3143512716||3143511286|Saint Louis City|2000-01-01|9999-12-31|
1013021435AC^EHI0NA|002^20000101_000000.|Physical|12700 Southfork Rd.|Ste. 200|Saint Louis|MO|63128|3145435942||3145435947|Saint Louis|2000-01-01|9999-12-31|
1013021435AC^EHI0NA|RMT^20000101_000000.|Mailing|PO Box 66767||Saint Louis|MO|63166-6767|3145435933||3144160973|Saint Louis City|2000-01-01|9999-12-31|
1013950070AA^EHI0NA|001^20080101_000000.|Physical|1001 E. Primrose St.||Springfield|MO|65807|4178753220||4178752642|Greene|2008-01-01|9999-12-31|USA
1013950070AA^EHI0NA|RMT^20080101_000000.|Mailing|PO Box 9007||Springfield|MO|65808|4178753220||4178753051|Greene|2008-01-01|9999-12-31|USA
1023025780AA^EHI0NA|001^20000101_000000.|Physical|3009 N. Ballas Rd.|Ste. 227-A|Saint Louis|MO|63131|3149967800||3149967829|Saint Louis|2000-01-01|9999-12-31|
1023025780AA^EHI0NA|RMT^20000101_000000.|Mailing|PO Box 959354||Saint Louis|MO|63195-9354|3149968101||3149967127|Saint Louis City|2000-01-01|9999-12-31|
1023079928AA^EHI0NA|001^20000101_000000.|Mailing|6901 Chippewa St.||Saint Louis|MO|63109|3146447000||3146447101|Saint Louis City|2000-01-01|9999-12-31|
1023100773AC^EHI0NA|001^20000101_000000.|Physical|102 Cortney Ln.||Crane|MO|65633|4177238537||4177235793|Stone|2000-01-01|9999-12-31|
1023100773AC^EHI0NA|RMT^20000101_000000.|Mailing|3800 S. National Ave.|Ste. 540|Springfield|MO|65807|4172694353|||Greene|2000-01-01|9999-12-31|
1023129954AA^EHI0NA|PRI^20000101_000000.|Physical|1225 Graham Rd.|Ste. 2320-C|Florissant|MO|63031|3148316883||3148313716|Saint Louis|2000-01-01|9999-12-31|
1023129954AA^EHI0NA|RMT^20000101_000000.|Mailing|PO Box 959354||Saint Louis|MO|63195-9354|3149968101||3149967127|Saint Louis City|2000-01-01|9999-12-31|
1023218757AB^EHI0NA|001^20000101_000000.|Mailing|13303 Tesson Ferry Rd.|Ste. 100|Saint Louis|MO|63128-4062|3147224741||3147224731|Saint Louis|2000-01-01|9999-12-31|
1033229935AA^EHI0NA|001^20080101_000000.|Physical|1530 E. Republic Rd.||Springfield|MO|65804|4172691362||4172691372|Greene|2008-01-01|9999-12-31|USA
1033229935AA^EHI0NA|RMT^20080101_000000.|Mailing|PO Box 4046||Springfield|MO|65808|4172691362||4172691372|Greene|2008-01-01|9999-12-31|USA
1033525852AA^EHI0NA|001^20000101_000000.|Physical|900 Rain Forest Pkwy.|Ste. B|Columbia|MO|65202|5734427999||5734428422|Boone|2000-01-01|9999-12-31|
1033525852AA^EHI0NA|RMT^20000101_000000.|Mailing|PO Box 959354||Saint Louis|MO|63195|3149968101||3149967127|Saint Louis City|2000-01-01|9999-12-31|
1043214778AB^EHI0NA|001^20000101_000000.|Physical|12700 Southfork Rd.|Ste. 215|Saint Louis|MO|63128|3145435244||3145435248|Saint Louis|2000-01-01|9999-12-31|
1043214778AB^EHI0NA|RMT^20000101_000000.|Mailing|PO Box 66767||Saint Louis|MO|63166-6767|3145435933||3144160973|Saint Louis City|2000-01-01|9999-12-31|
1043284730AC^EHI0NA|001^20000101_000000.|Physical|18452 State Missouri 13||Branson West|MO|65737|4172728911||4173302229|Stone|2000-01-01|9999-12-31|
1043284730AC^EHI0NA|RMT^20000101_000000.|Mailing|PO Box 4046||Springfield|MO|65808|4173357020||4173357133|Greene|2000-01-01|9999-12-31|
1043444342AA^EHI0NA|PO1^20000101_000000.|Physical|2630 Hwy. K||O Fallon|MO|63368|6362405454||6369805335|Saint Charles|2000-01-01|9999-12-31|
1043444342AA^EHI0NA|RMT^20000101_000000.|Mailing|PO Box 959354||Saint Louis|MO|63195-9354|3149968101||3149967127|Saint Louis City|2000-01-01|9999-12-31|
1053355206AA^EHI0NA|001^20080101_000000.|Physical|1150 State Hwy. 248|Ste. 202|Branson|MO|65616|4173488964||4173360275|Taney|2008-01-01|9999-12-31|USA
1053355206AA^EHI0NA|RMT^20080101_000000.|Mailing|PO Box 4046||Springfield|MO|65808|4173488964||4173360275|Greene|2008-01-01|9999-12-31|USA
1053421065AA^EHI0NA|001^20000101_000000.|Physical|20 Progress Point Pkwy.|Ste. 108|O Fallon|MO|63368|6363442400||6363442401|Saint Charles|2000-01-01|9999-12-31|
1053421065AA^EHI0NA|RMT^20000101_000000.|Mailing|PO Box 959354||Saint Louis|MO|63195-9354|3149968101||3149967127|Saint Louis City|2000-01-01|9999-12-31|
1053421875AA^EHI0NA|001^20080101_000000.|Physical|1530 E. Republic Rd.||Springfield|MO|65804|4172691362||4172691372|Greene|2008-01-01|9999-12-31|USA
